date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2009-10-10,Russia,Germany,0,1,False,Lose,2009,0,-3,-2.4000000000000057,-1.7000000000000028,8,3,2,1,-1,1,-3,-1,2
2009-10-10,Ukraine,England,1,0,False,Win,2009,-3,-10.200000000000003,-6.700000000000003,-8.599999999999994,8,0,0,4,-1,0,3,1,18
2009-10-10,Venezuela,Paraguay,1,2,False,Lose,2009,-13,-14.299999999999997,-8.299999999999997,-2.200000000000003,0,1,1,0,0,-1,-2,-1,28
2009-10-14,Bosnia and Herzegovina,Spain,2,5,False,Lose,2009,-14,-12,-5.599999999999994,-8.799999999999997,-34,2,5,-1,0,10,-3,-3,44
2009-10-14,Brazil,Venezuela,0,0,False,Draw,2009,26,24.299999999999997,13.299999999999997,11.700000000000003,0,-1,6,-3,1,2,1,0,-50
2009-10-14,Chile,Ecuador,1,0,False,Win,2009,1,3,1.5999999999999943,3.299999999999997,0,2,3,0,-1,-3,-1,1,-15
2009-10-14,Czech Republic,Northern Ireland,0,0,False,Draw,2009,12,2.4000000000000057,6.700000000000003,6.700000000000003,16,1,4,0,0,-1,-3,0,-13
2009-10-14,England,Belarus,3,0,False,Win,2009,5,19,15.299999999999997,12.599999999999994,6,1,6,-1,0,0,-4,3,-70
2009-10-14,France,Austria,3,1,False,Win,2009,9,9.200000000000003,9.599999999999994,9.5,20,1,0,-2,0,-5,0,2,-60
2009-10-14,Germany,Finland,1,1,False,Draw,2009,5,7.599999999999994,9.400000000000006,10.700000000000003,20,3,10,-1,0,-6,-3,0,-57
2009-10-14,Uruguay,Argentina,0,1,False,Lose,2009,-2,-4.5,-4.299999999999997,-6.299999999999997,0,0,4,0,2,5,-1,-1,20
2009-11-14,Republic of Ireland,France,0,1,False,Lose,2009,-2,-6,-7,-5.299999999999997,-4,-2,-2,0,0,3,-1,-1,25
2009-11-18,France,Republic of Ireland,1,1,False,Draw,2009,2,6,7,5.299999999999997,6,6,11,0,0,0,-2,0,-25
2010-06-11,South Africa,Mexico,1,1,False,Draw,2010,-8,-4.299999999999997,-5.700000000000003,-1.5999999999999943,-16,0,-5,0,0,4,0,0,66
2010-06-11,Uruguay,France,0,0,True,Draw,2010,-10,-6,-0.29999999999999716,-7,-12,0,-13,-1,1,-7,0,0,7
2010-06-12,England,United States,1,1,True,Draw,2010,-1,11.400000000000006,11.299999999999997,7.599999999999994,14,2,6,0,0,-2,-2,0,-6
2010-06-12,South Korea,Greece,2,0,True,Win,2010,-6,-4.799999999999997,-6.700000000000003,-4.700000000000003,-2,2,11,-1,0,3,0,2,34
2010-06-13,Germany,Australia,4,0,True,Win,2010,6,9,6.700000000000003,7.200000000000003,12,7,6,-1,-1,-8,-3,4,-14
2010-06-13,Serbia,Ghana,0,1,True,Lose,2010,9,8.400000000000006,4,0,0,1,-1,0,1,-6,-2,-1,-17
2010-06-14,Italy,Paraguay,1,1,True,Draw,2010,12,9,5,11,14,4,3,0,0,1,-4,0,-26
2010-06-14,Netherlands,Denmark,2,0,True,Win,2010,7,0.7999999999999972,8,7.599999999999994,30,3,8,1,0,-8,-2,2,-32
2010-06-15,Ivory Coast,Portugal,0,0,True,Draw,2010,-6,-7.200000000000003,-1,-2.799999999999997,-12,1,1,1,0,3,-1,0,24
2010-06-15,New Zealand,Slovakia,1,1,True,Draw,2010,-17,-9.5,-11.700000000000003,-13.599999999999994,-2,0,-4,1,0,2,0,0,44
2010-06-16,South Africa,Uruguay,0,3,False,Lose,2010,-5,-5.799999999999997,-11,-2.299999999999997,0,-3,-9,2,1,4,0,-3,67
2010-06-16,Spain,Switzerland,0,1,True,Lose,2010,10,8.5,9.299999999999997,10,26,5,16,-4,0,-13,-6,-1,-22
2010-06-17,Argentina,South Korea,4,1,True,Win,2010,5,11.299999999999997,16,10,12,9,9,1,0,0,-6,3,-40
2010-06-17,France,Mexico,0,2,True,Lose,2010,7,7.5,5.599999999999994,7.700000000000003,6,-1,1,-2,0,-2,-1,-2,-8
2010-06-18,Germany,Serbia,0,1,True,Lose,2010,10,2.5999999999999943,5.400000000000006,2,2,1,6,-1,1,9,-3,-1,-9
2010-06-18,Slovenia,United States,2,2,True,Draw,2010,-4,-3.5999999999999943,-1,-6.400000000000006,-4,-2,-7,3,0,-3,2,0,11
2010-06-19,Cameroon,Denmark,1,2,True,Lose,2010,5,-1.7999999999999972,2.299999999999997,2.299999999999997,8,2,10,0,0,-3,-3,-1,-17
2010-06-19,Ghana,Australia,1,1,True,Draw,2010,-13,-2,-2.700000000000003,5.200000000000003,0,1,14,2,-1,4,0,0,12
2010-06-20,Brazil,Ivory Coast,3,1,True,Win,2010,16,10,2,2.5,12,2,2,-3,1,-6,0,2,-26
2010-06-20,Italy,New Zealand,1,1,True,Draw,2010,28,19.299999999999997,19.299999999999997,22.799999999999997,14,6,20,-3,0,-14,-5,0,-73
2010-06-20,Slovakia,Paraguay,0,2,True,Lose,2010,1,-0.7999999999999972,-2.5999999999999943,1.7999999999999972,2,-4,-5,2,0,-4,2,-2,3
2010-06-21,Chile,Switzerland,1,0,True,Win,2010,-5,-2.299999999999997,1.2999999999999972,1.5,16,6,13,3,-1,-7,-5,1,-6
2010-06-22,Greece,Argentina,0,2,True,Lose,2010,1,-6.5,-9.299999999999997,-5.299999999999997,-34,-9,-15,0,0,7,9,-2,6
2010-06-22,Mexico,Uruguay,0,1,True,Lose,2010,3,-1.5,-5.299999999999997,-0.7000000000000028,18,-3,-4,1,0,7,2,-1,1
2010-06-23,Australia,Serbia,2,1,True,Win,2010,4,-6.400000000000006,-1.2999999999999972,-5.200000000000003,-10,1,-6,1,0,15,0,1,5
2010-06-23,Ghana,Germany,0,1,True,Lose,2010,-19,-11,-9.400000000000006,-2,-10,-1,4,0,0,6,3,-1,26
2010-06-23,Slovenia,England,0,1,True,Lose,2010,-3,-15,-12.299999999999997,-14,-10,-2,0,2,0,-1,0,-1,17
2010-06-24,Cameroon,Netherlands,1,2,True,Lose,2010,-2,-2.5999999999999943,-5.700000000000003,-5.299999999999997,2,-5,0,-1,0,3,3,-1,15
2010-06-24,Paraguay,New Zealand,0,0,True,Draw,2010,16,10.299999999999997,14.299999999999997,11.799999999999997,16,5,13,1,0,-6,-5,0,-47
2010-06-24,Slovakia,Italy,3,2,True,Win,2010,-11,-9.799999999999997,-7.599999999999994,-9.200000000000003,0,-2,-4,0,0,3,2,1,29
2010-06-25,Chile,Spain,1,2,True,Lose,2010,-15,-10.799999999999997,-8,-8.5,-18,1,0,2,1,8,-2,-1,16
